Card Type	Card Number
Visa	4111 1111 1111 1111
Visa	4242 4242 4242 4242
Visa	4999 9999 9999 9103
Visa	4999 9999 9999 9236
Visa	4999 9999 9999 9269
Visa	4999 9999 9999 9996
Visa	4999 9999 9999 9202
Visa	4111 1111 1111 1119
Visa	4999 9999 9999 9108
Visa	4999 9999 9999 9109
MasterCard	5431 1111 1111 1111
MasterCard	5123 4558 0630 8521
MasterCard	5123 4590 4605 8920
MasterCard	5427 6600 6424 1339
MasterCard	2223 0000 1000 0005
MasterCard	5431 1111 1111 1301
MasterCard	5431 1111 1111 1228
MasterCard	5999 9999 9999 9108
Amex	3774 0011 1111 115
Amex	3760 0000 0000 006
Amex	3711 1111 1111 114
Amex	3712 3480 6987 034
Diners	3600 0000 0000 08
